id,fecha,producto,categoria,precio,cantidad,ciudad
45,2025-04-21,Chaqueta Negra,Ropa,160000,2,Barranquilla
46,2025-04-06,Tablet Mini,Electrónica,950000,1,Medellín
47,2025-04-19,Tenis Urbanos,Calzado,130000,3,Medellín
48,2025-04-09,Reloj Smart,Electrónica,300000,2,Barranquilla
49,2025-04-27,Pantalón Jeans,Ropa,85000,4,Barranquilla
50,2025-04-24,Camiseta Azul,Ropa,25000,2,Bogotá
51,2025-04-16,Audífonos X100,Electrónica,150000,1,Cartagena
52,2025-04-09,Zapatos Deportivos,Calzado,120000,1,Cartagena
53,2025-04-08,Tablet Mini,Electrónica,950000,2,Cartagena
54,2025-04-02,Tablet Mini,Electrónica,950000,3,Bucaramanga
55,2025-04-09,Camiseta Azul,Ropa,25000,4,Medellín
56,2025-04-05,Zapatos Deportivos,Calzado,120000,1,Bucaramanga
57,2025-04-19,Camiseta Azul,Ropa,25000,3,Bucaramanga
58,2025-04-04,Tenis Urbanos,Calzado,130000,5,Cartagena
59,2025-04-01,Tablet Mini,Electrónica,950000,3,Cali
60,2025-04-29,Pantalón Jeans,Ropa,85000,4,Cartagena
61,2025-04-01,Celular A23,Electrónica,800000,2,Bucaramanga
62,2025-04-25,Zapatos Deportivos,Calzado,120000,2,Medellín
63,2025-04-06,Reloj Smart,Electrónica,300000,1,Cali
64,2025-04-17,Celular A23,Electrónica,800000,5,Bogotá
65,2025-04-12,Laptop Z15,Electrónica,2200000,3,Cartagena
66,2025-04-14,Camiseta Azul,Ropa,25000,4,Cali
67,2025-04-17,Reloj Smart,Electrónica,300000,5,Bogotá
68,2025-04-16,Zapatos Deportivos,Calzado,120000,3,Medellín
69,2025-04-23,Audífonos X100,Electrónica,150000,3,Cartagena
70,2025-04-23,Chaqueta Negra,Ropa,160000,2,Barranquilla
71,2025-04-27,Chaqueta Negra,Ropa,160000,3,Bucaramanga
72,2025-04-11,Tenis Urbanos,Calzado,130000,1,Barranquilla
73,2025-04-19,Celular A23,Electrónica,800000,5,Barranquilla
74,2025-04-24,Zapatos Deportivos,Calzado,120000,5,Cartagena
75,2025-04-07,Reloj Smart,Electrónica,300000,5,Bogotá
76,2025-04-06,Laptop Z15,Electrónica,2200000,4,Barranquilla
77,2025-04-03,Camiseta Azul,Ropa,25000,3,Medellín
78,2025-04-12,Celular A23,Electrónica,800000,2,Cartagena
79,2025-04-17,Chaqueta Negra,Ropa,160000,1,Bogotá
80,2025-04-22,Tenis Urbanos,Calzado,130000,3,Cartagena
81,2025-04-17,Tenis Urbanos,Calzado,130000,1,Cali
82,2025-04-29,Zapatos Deportivos,Calzado,120000,1,Medellín
83,2025-04-25,Laptop Z15,Electrónica,2200000,4,Barranquilla
84,2025-04-25,Reloj Smart,Electrónica,300000,4,Bogotá
85,2025-04-17,Laptop Z15,Electrónica,2200000,4,Barranquilla
86,2025-04-23,Camiseta Azul,Ropa,25000,3,Cartagena
87,2025-04-09,Tenis Urbanos,Calzado,130000,3,Bogotá
88,2025-04-14,Zapatos Deportivos,Calzado,120000,5,Medellín
89,2025-04-16,Audífonos X100,Electrónica,150000,1,Bucaramanga
90,2025-04-23,Laptop Z15,Electrónica,2200000,5,Medellín
91,2025-04-08,Camiseta Azul,Ropa,25000,5,Medellín
92,2025-04-10,Laptop Z15,Electrónica,2200000,5,Cartagena
93,2025-04-28,Audífonos X100,Electrónica,150000,4,Barranquilla
94,2025-04-04,Laptop Z15,Electrónica,2200000,5,Cali
95,2025-04-29,Audífonos X100,Electrónica,150000,1,Cartagena
96,2025-04-16,Camiseta Azul,Ropa,25000,3,Medellín
97,2025-04-29,Camiseta Azul,Ropa,25000,5,Cartagena
98,2025-04-18,Zapatos Deportivos,Calzado,120000,4,Cali
99,2025-04-17,Audífonos X100,Electrónica,150000,5,Barranquilla
100,2025-04-05,Pantalón Jeans,Ropa,85000,4,Medellín
